CODICE_,C_PR,C_COM,COMUNE,C_VALLE,D_VALLE,C_DISTRETTI,D_DISTRETTI,C_RETI,D_RETI,LATITUDINE,LONGITUDINE,,,,
022001,022,001,ALA,10,Comunità della Vallagarina,4,Centro sud,12,Vallagarina-Alt. Cimbri,"45,763,728","10,987,107",,,,
022002,022,002,ALBIANO,5,Comunità della Valle di Cembra,2,Ovest,4,Valle di Cembra,"46,145,963","11,194,537",,,,
022003,022,003,ALDENO,15,Val d'Adige,1,Centro nord,13,Val d'Adige e Laghi,"45,979,074","11,094,556",,,,
022235,022,235,ALTAVALLE,5,Comunità della Valle di Cembra,2,Ovest,4,Valle di Cembra,"46,182,417","11,232,888",,,,
022236,022,236,ALTOPIANO DELLA VIGOLANA,4,Comunità Alta Valsugana e Bersentol,3,Est,9,Alta Valsugana,"45,985,049","11,166,120",,,,
022237,022,237,AMBLAR-DON,6,Comunità della Val di Non,2,Ovest,1,Val di Non,"46,395,132","11,142,520",,,,
022005,022,005,ANDALO,14,Comunità della Paganella,2,Ovest,3,Rotaliana - Paganella,"46,166,111","11,005,167",,,,
022006,022,006,ARCO,9,Comunità Alto Garda e Ledro,4,Centro sud,11,Alto Garda e Ledro,"45,917,826","10,886,866",,,,
022007,022,007,AVIO,10,Comunità della Vallagarina,4,Centro sud,12,Vallagarina-Alt. Cimbri,"45,734,870","10,938,296",,,,
022009,022,009,BASELGA DI PINE',4,Comunità Alta Valsugana e Bersentol,3,Est,9,Alta Valsugana,"46,132,492","11,246,988",,,,
022011,022,011,BEDOLLO,4,Comunità Alta Valsugana e Bersentol,3,Est,9,Alta Valsugana,"46,170,069","11,301,735",,,,
022013,022,013,BESENELLO,10,Comunità della Vallagarina,4,Centro sud,12,Vallagarina-Alt. Cimbri,"45,944,040","11,108,169",,,,
022015,022,015,BIENO,3,Comunità Valsugana e Tesino,3,Est,8,Valsugana e Tesino,"46,082,519","11,557,204",,,,
022017,022,017,BLEGGIO SUPERIORE,8,Comunità delle Giudicarie,4,Centro sud,10,Giudicarie,"46,025,236","10,837,429",,,,
022018,022,018,BOCENAGO,8,Comunità delle Giudicarie,4,Centro sud,10,Giudicarie,"46,120,000","10,760,019",,,,
022021,022,021,BONDONE,8,Comunità delle Giudicarie,4,Centro sud,10,Giudicarie,"45,805,759","10,551,278",,,,
022238,022,238,BORGO CHIESE,8,Comunità delle Giudicarie,4,Centro sud,10,Giudicarie,"45,881,995","10,576,198",,,,
022252,022,252,BORGO D'ANAUNIA,6,Comunità della Val di Non,2,Ovest,1,Val di Non,"46,340,679","10,929,590",,,,
022239,022,239,BORGO LARES,8,Comunità delle Giudicarie,4,Centro sud,10,Giudicarie,"46,032,888","10,735,265",,,,
022022,022,022,BORGO VALSUGANA,3,Comunità Valsugana e Tesino,3,Est,8,Valsugana e Tesino,"46,052,352","11,455,481",,,,
022025,022,025,BRENTONICO,10,Comunità della Vallagarina,4,Centro sud,12,Vallagarina-Alt. Cimbri,"45,820,000","10,956,278",,,,
022026,022,026,BRESIMO,6,Comunità della Val di Non,2,Ovest,1,Val di Non,"46,410,813","10,968,371",,,,
022027,022,027,BREZ,6,Comunità della Val di Non,2,Ovest,1,Val di Non,"46,431,889","11,107,667",,,,
022029,022,029,CADERZONE,8,Comunità delle Giudicarie,4,Centro sud,10,Giudicarie,"46,130,839","10,759,735",,,,
022030,022,030,CAGNO',6,Comunità della Val di Non,2,Ovest,1,Val di Non,"46,394,030","11,042,866",,,,
022032,022,032,CALCERANICA AL LAGO,4,Comunità Alta Valsugana e Bersentol,3,Est,9,Alta Valsugana,"46,005,648","11,244,870",,,,
022033,022,033,CALDES,7,Comunità della Valle di Sole,2,Ovest,2,Valle di Sole,"46,365,115","10,942,443",,,,
022034,022,034,CALDONAZZO,4,Comunità Alta Valsugana e Bersentol,3,Est,9,Alta Valsugana,"45,995,944","11,265,796",,,,
022035,022,035,CALLIANO,10,Comunità della Vallagarina,4,Centro sud,12,Vallagarina-Alt. Cimbri,"45,934,246","11,094,321",,,,
022036,022,036,CAMPITELLO DI FASSA,11,Comun General de Fascia,3,Est,6,Val di Fassa,"46,477,370","11,743,148",,,,
022037,022,037,CAMPODENNO,6,Comunità della Val di Non,2,Ovest,1,Val di Non,"46,258,926","11,034,222",,,,
022038,022,038,CANAL SAN BOVO,2,Comunità di Primiero,3,Est,7,Primiero,"46,156,036","11,733,516",,,,
022039,022,039,CANAZEI,11,Comun General de Fascia,3,Est,6,Val di Fassa,"46,476,735","11,772,458",,,,
022040,022,040,CAPRIANA,1,Comunità territoriale della Valle di Fiemme,3,Est,5,Val di Fiemme,"46,262,504","11,338,743",,,,
022042,022,042,CARISOLO,8,Comunità delle Giudicarie,4,Centro sud,10,Giudicarie,"46,169,870","10,760,019",,,,
022043,022,043,CARZANO,3,Comunità Valsugana e Tesino,3,Est,8,Valsugana e Tesino,"46,070,741","11,492,748",,,,
022045,022,045,CASTEL CONDINO,8,Comunità delle Giudicarie,4,Centro sud,10,Giudicarie,"45,916,149","10,602,593",,,,
022240,022,240,CASTEL IVANO,3,Comunità Valsugana e Tesino,3,Est,8,Valsugana e Tesino,"46,066,779","11,518,581",,,,
022046,022,046,CASTELFONDO,6,Comunità della Val di Non,2,Ovest,1,Val di Non,"46,456,628","11,118,391",,,,
022048,022,048,CASTELLO TESINO,3,Comunità Valsugana e Tesino,3,Est,8,Valsugana e Tesino,"46,064,556","11,633,444",,,,
022047,022,047,CASTELLO-MOLINA DI FIEMME,1,Comunità territoriale della Valle di Fiemme,3,Est,5,Val di Fiemme,"46,281,883","11,435,125",,,,
022049,022,049,CASTELNUOVO,3,Comunità Valsugana e Tesino,3,Est,8,Valsugana e Tesino,"46,052,680","11,491,668",,,,
022050,022,050,CAVALESE,1,Comunità territoriale della Valle di Fiemme,3,Est,5,Val di Fiemme,"46,290,178","11,460,532",,,,
022051,022,051,CAVARENO,6,Comunità della Val di Non,2,Ovest,1,Val di Non,"46,409,389","11,139,241",,,,
022052,022,052,CAVEDAGO,14,Comunità della Paganella,2,Ovest,3,Rotaliana - Paganella,"46,186,278","11,032,500",,,,
022053,022,053,CAVEDINE,16,Comunità della Valle dei Laghi,1,Centro nord,13,Val d'Adige e Laghi,"45,996,278","10,974,704",,,,
022054,022,054,CAVIZZANA,7,Comunità della Valle di Sole,2,Ovest,2,Valle di Sole,"46,368,180","10,958,596",,,,
022241,022,241,CEMBRA LISIGNAGO,5,Comunità della Valle di Cembra,2,Ovest,4,Valle di Cembra,"46,188,386","11,171,272",,,,
022058,022,058,CIMONE,15,Val d'Adige,1,Centro nord,13,Val d'Adige e Laghi,"45,980,333","11,070,648",,,,
022059,022,059,CINTE TESINO,3,Comunità Valsugana e Tesino,3,Est,8,Valsugana e Tesino,"46,058,611","11,614,389",,,,
022060,022,060,CIS,6,Comunità della Val di Non,2,Ovest,1,Val di Non,"46,399,775","11,004,454",,,,
022061,022,061,CIVEZZANO,4,Comunità Alta Valsugana e Bersentol,3,Est,9,Alta Valsugana,"46,091,415","11,184,616",,,,
022062,022,062,CLES,6,Comunità della Val di Non,2,Ovest,1,Val di Non,"46,366,111","11,034,074",,,,
022063,022,063,CLOZ,6,Comunità della Val di Non,2,Ovest,1,Val di Non,"46,419,852","11,087,981",,,,
022228,022,228,COMANO TERME,8,Comunità delle Giudicarie,4,Centro sud,10,Giudicarie,"46,055,353","10,724,127",,,,
022064,022,064,COMMEZZADURA,7,Comunità della Valle di Sole,2,Ovest,2,Valle di Sole,"46,322,617","10,840,665",,,,
022242,022,242,CONTÀ,6,Comunità della Val di Non,2,Ovest,1,Val di Non,"46,285,674","11,030,058",,,,
022068,022,068,CROVIANA,7,Comunità della Valle di Sole,2,Ovest,2,Valle di Sole,"46,346,278","10,904,537",,,,
022070,022,070,DAIANO,1,Comunità territoriale della Valle di Fiemme,3,Est,5,Val di Fiemme,"46,302,500","11,450,167",,,,
022071,022,071,DAMBEL,6,Comunità della Val di Non,2,Ovest,1,Val di Non,"46,405,196","11,093,944",,,,
022074,022,074,DENNO,6,Comunità della Val di Non,2,Ovest,1,Val di Non,"46,273,639","11,048,780",,,,
022233,022,233,DIMARO FOLGARIDA,7,Comunità della Valle di Sole,2,Ovest,2,Valle di Sole,"46,300,900","10,858,267",,,,
022078,022,078,DRENA,9,Comunità Alto Garda e Ledro,4,Centro sud,11,Alto Garda e Ledro,"45,970,044","10,943,848",,,,
022079,022,079,DRO,9,Comunità Alto Garda e Ledro,4,Centro sud,11,Alto Garda e Ledro,"45,962,369","10,912,375",,,,
